timestamp,bid,ask,last_trade,volume
2026-01-01T00:00:00Z,98146.76,98157.76,98152.05,7.133579
2026-01-01T00:01:00Z,98158.16,98169.19,98163.52,8.811368
2026-01-01T00:02:00Z,98159.82,98170.90,98165.02,7.289438
2026-01-01T00:03:00Z,98162.70,98173.82,98168.55,8.439900
2026-01-01T00:04:00Z,98171.64,98182.79,98177.35,7.944155
2026-01-01T00:05:00Z,98162.87,98174.06,98168.77,8.646003
2026-01-01T00:06:00Z,98175.91,98187.15,98181.40,7.725370
2026-01-01T00:07:00Z,98168.54,98179.81,98173.78,7.690202
2026-01-01T00:08:00Z,98191.73,98203.04,98197.08,7.568209
2026-01-01T00:09:00Z,98191.29,98202.64,98197.95,8.466673
2026-01-01T00:10:00Z,98198.40,98209.80,98202.21,10.289250
2026-01-01T00:11:00Z,98193.54,98204.98,98198.12,8.211033
2026-01-01T00:12:00Z,98208.24,98219.71,98212.45,8.191145
2026-01-01T00:13:00Z,98199.42,98210.93,98205.07,7.541476
2026-01-01T00:14:00Z,98212.85,98224.40,98219.65,7.969367
2026-01-01T00:15:00Z,98219.22,98230.80,98225.82,7.791924
2026-01-01T00:16:00Z,98215.86,98227.49,98220.78,7.796148
2026-01-01T00:17:00Z,98229.32,98240.98,98234.84,10.049531
2026-01-01T00:18:00Z,98223.20,98234.90,98227.67,8.183221
2026-01-01T00:19:00Z,98245.53,98257.27,98252.03,8.278446
2026-01-01T00:20:00Z,98249.95,98261.73,98255.72,8.997414
2026-01-01T00:21:00Z,98238.65,98250.46,98245.74,9.036661
2026-01-01T00:22:00Z,98247.51,98259.36,98253.75,7.697324
2026-01-01T00:23:00Z,98257.35,98269.24,98264.02,10.118654
2026-01-01T00:24:00Z,98260.81,98272.73,98266.01,8.021453
2026-01-01T00:25:00Z,98253.46,98265.42,98260.63,8.041810
2026-01-01T00:26:00Z,98263.79,98275.79,98270.73,8.244061
2026-01-01T00:27:00Z,98266.21,98278.25,98269.93,8.689155
2026-01-01T00:28:00Z,98268.20,98280.28,98274.76,8.836627
2026-01-01T00:29:00Z,98276.75,98288.86,98283.13,7.620231
2026-01-01T00:30:00Z,98289.70,98301.85,98296.89,7.761311
2026-01-01T00:31:00Z,98277.02,98289.21,98284.25,7.904324
2026-01-01T00:32:00Z,98298.99,98311.21,98305.06,9.804953
2026-01-01T00:33:00Z,98290.33,98302.59,98298.45,7.613515
2026-01-01T00:34:00Z,98293.07,98305.36,98297.80,7.670723
2026-01-01T00:35:00Z,98312.54,98324.87,98319.73,8.330236
2026-01-01T00:36:00Z,98286.07,98298.44,98293.14,8.184661
2026-01-01T00:37:00Z,98304.57,98316.97,98309.99,7.534446
2026-01-01T00:38:00Z,98326.62,98339.05,98331.52,8.059046
2026-01-01T00:39:00Z,98327.53,98340.00,98333.21,7.996760
2026-01-01T00:40:00Z,98321.20,98333.70,98325.90,7.837541
2026-01-01T00:41:00Z,98314.48,98327.01,98321.85,7.591342
2026-01-01T00:42:00Z,98346.12,98358.69,98352.76,9.240239
2026-01-01T00:43:00Z,98321.09,98333.69,98327.23,8.003042
2026-01-01T00:44:00Z,98349.09,98361.73,98353.31,8.817833
2026-01-01T00:45:00Z,98343.43,98356.10,98351.68,8.497742
2026-01-01T00:46:00Z,98342.65,98355.35,98348.35,9.154450
2026-01-01T00:47:00Z,98347.29,98360.02,98353.42,10.094676
2026-01-01T00:48:00Z,98344.28,98357.05,98351.07,9.566842
2026-01-01T00:49:00Z,98349.41,98362.20,98356.13,8.686441
2026-01-01T00:50:00Z,98367.51,98380.34,98373.87,9.051995
2026-01-01T00:51:00Z,98362.90,98375.76,98369.98,8.314866
2026-01-01T00:52:00Z,98356.90,98369.79,98364.76,7.843887
2026-01-01T00:53:00Z,98371.32,98384.24,98379.37,8.483036
2026-01-01T00:54:00Z,98371.18,98384.13,98380.34,8.057811
2026-01-01T00:55:00Z,98369.64,98382.62,98376.27,9.558106
2026-01-01T00:56:00Z,98376.03,98389.04,98383.18,9.227037
